499	499	497	0	164.262	78.202	6.113
499	498	101	28	90.811	86.362	6.96
499	499	52	28	87.167	83.477	5.82
499	488	46	31	88.505	77.775	5.156
499	485	30	32	82.188	74.576	5.046
499	487	33	31	86.458	75.072	5.024
499	493	28	35	83.47	75.067	5.097
499	488	17	32	79.885	74.153	5.07
499	495	20	35	91.906	75.532	5.168
499	498	15	34	85.406	75.797	5.301
499	500	13	31	82.607	74.398	5.022
499	498	14	31	82.481	73.417	5.113
499	499	11	38	141.663	75.149	5.131
499	507	11	39	82.715	74.832	5.113
499	504	13	37	149.177	75.11	4.861
499	506	16	27	85.634	76.623	4.969
499	500	6	26	82.558	76.659	5.234
499	505	9	32	80.228	74.739	5.092
499	502	11	27	109.291	75.004	5.127
499	505	9	41	78.749	75.793	5.082
499	503	10	43	127.353	76.392	5.015
