499	499	499	0	167.479	77.395	5.771
499	498	21	13	87.7	81.761	5.395
499	499	60	23	152.864	75.985	6.036
499	488	24	20	96.394	76.108	5.978
499	485	13	18	159.558	74.065	5.93
499	487	73	32	83.342	74.665	6.205
499	493	66	35	80.57	76.692	6.055
499	488	61	36	80.815	74.642	5.922
499	495	15	24	147.773	74.16	5.273
499	498	56	39	81.563	75.019	5.304
499	500	60	39	85.705	75.205	5.322
499	499	20	25	151.683	75.472	5.985
499	499	428	65	84.349	76.179	6.009
499	507	305	60	148.364	76.977	6.112
499	505	416	65	118.447	76.199	6.326
499	506	38	32	79.64	74.996	5.479
499	500	32	34	126.916	74.907	5.486
499	505	15	26	128.857	75.865	6.077
499	502	19	27	79.703	76.453	6.038
499	505	36	38	163.933	75.345	5.453
499	503	21	33	151.757	75.211	5.353
